hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
He doesn't have a cell phone.,He has no mobile.,Not Hallucination,he does not have a cell phone,he has no mobile,['he does not have a cell phone'],['he has no mobile'],"[['he', 'does', 'not', 'have', 'a', 'cell', 'phone']]","[['he', 'has', 'no', 'mobile']]"
She yelled at him.,She yelled at him.,Not Hallucination,she yelled at him,she yelled at him,['she yelled at him'],['she yelled at him'],"[['she', 'yelled', 'at', 'him']]","[['she', 'yelled', 'at', 'him']]"
Do you promise?,Do you promise?,Not Hallucination,do you promise,do you promise,['do you promise'],['do you promise'],"[['do', 'you', 'promise']]","[['do', 'you', 'promise']]"
The deer was a victim of a lion.,The deer fell a prey to the lion.,Not Hallucination,the deer was a victim of a lion,the deer fell a prey to the lion,['the deer was a victim of a lion'],['the deer fell a prey to the lion'],"[['the', 'deer', 'was', 'a', 'victim', 'of', 'a', 'lion']]","[['the', 'deer', 'fell', 'a', 'prey', 'to', 'the', 'lion']]"
Don't leave me.,Just don't leave me.,Not Hallucination,do not leave me,just do not leave me,['do not leave me'],['just do not leave me'],"[['do', 'not', 'leave', 'me']]","[['just', 'do', 'not', 'leave', 'me']]"
What's your brother's name?,What's your brother's name?,Not Hallucination,what is your brothers name,what is your brothers name,['what is your brothers name'],['what is your brothers name'],"[['what', 'is', 'your', 'brothers', 'name']]","[['what', 'is', 'your', 'brothers', 'name']]"
Wait for her.,Wait for her.,Not Hallucination,wait for her,wait for her,['wait for her'],['wait for her'],"[['wait', 'for', 'her']]","[['wait', 'for', 'her']]"
He sent weapons against me.,He raised a weapon against me.,Hallucination,he sent weapons against me,he raised a weapon against me,['he sent weapons against me'],['he raised a weapon against me'],"[['he', 'sent', 'weapons', 'against', 'me']]","[['he', 'raised', 'a', 'weapon', 'against', 'me']]"
You're above all of us.,You are the tallest of us all.,Hallucination,you are above all of us,you are the tallest of us all,['you are above all of us'],['you are the tallest of us all'],"[['you', 'are', 'above', 'all', 'of', 'us']]","[['you', 'are', 'the', 'tallest', 'of', 'us', 'all']]"
Put it into your suitcase.,Put this in your suitcase.,Not Hallucination,put it into your suitcase,put this in your suitcase,['put it into your suitcase'],['put this in your suitcase'],"[['put', 'it', 'into', 'your', 'suitcase']]","[['put', 'this', 'in', 'your', 'suitcase']]"
I heard the door of the car open and shut up.,I heard a car door open and close.,Hallucination,i heard the door of the car open and shut up,i heard a car door open and close,['i heard the door of the car open and shut up'],['i heard a car door open and close'],"[['i', 'heard', 'the', 'door', 'of', 'the', 'car', 'open', 'and', 'shut', 'up']]","[['i', 'heard', 'a', 'car', 'door', 'open', 'and', 'close']]"
Tom didn't listen to Mary's instructions.,Tom didn't listen to Mary's instructions.,Not Hallucination,tom did not listen to marys instructions,tom did not listen to marys instructions,['tom did not listen to marys instructions'],['tom did not listen to marys instructions'],"[['tom', 'did', 'not', 'listen', 'to', 'marys', 'instructions']]","[['tom', 'did', 'not', 'listen', 'to', 'marys', 'instructions']]"
Translation of the name into French is ridiculous.,The translation of the title in French is ridiculous.,Not Hallucination,translation of the name into french is ridiculous,the translation of the title in french is ridiculous,['translation of the name into french is ridiculous'],['the translation of the title in french is ridiculous'],"[['translation', 'of', 'the', 'name', 'into', 'french', 'is', 'ridiculous']]","[['the', 'translation', 'of', 'the', 'title', 'in', 'french', 'is', 'ridiculous']]"
She doesn't have cancer.,She doesn't have cancer.,Not Hallucination,she does not have cancer,she does not have cancer,['she does not have cancer'],['she does not have cancer'],"[['she', 'does', 'not', 'have', 'cancer']]","[['she', 'does', 'not', 'have', 'cancer']]"
I'll solve this problem.,I'll solve that problem.,Not Hallucination,i will solve this problem,i will solve that problem,['i will solve this problem'],['i will solve that problem'],"[['i', 'will', 'solve', 'this', 'problem']]","[['i', 'will', 'solve', 'that', 'problem']]"
This flashlight requires two batteries.,This torch takes two batteries.,Not Hallucination,this flashlight requires two batteries,this torch takes two batteries,['this flashlight requires two batteries'],['this torch takes two batteries'],"[['this', 'flashlight', 'requires', 'two', 'batteries']]","[['this', 'torch', 'takes', 'two', 'batteries']]"
You eat more than me.,You eat more than me.,Not Hallucination,you eat more than me,you eat more than me,['you eat more than me'],['you eat more than me'],"[['you', 'eat', 'more', 'than', 'me']]","[['you', 'eat', 'more', 'than', 'me']]"
I'm glad to see you're okay.,I'm glad to see you're OK.,Not Hallucination,i am glad to see you are okay,i am glad to see you are ok,['i am glad to see you are okay'],['i am glad to see you are ok'],"[['i', 'am', 'glad', 'to', 'see', 'you', 'are', 'okay']]","[['i', 'am', 'glad', 'to', 'see', 'you', 'are', 'ok']]"
What do you mean?,What are you talking about?,Hallucination,what do you mean,what are you talking about,['what do you mean'],['what are you talking about'],"[['what', 'do', 'you', 'mean']]","[['what', 'are', 'you', 'talking', 'about']]"
This is an unfounded statement.,That's an unsubstantiated claim.,Hallucination,this is an unfounded statement,that is an unsubstantiated claim,['this is an unfounded statement'],['that is an unsubstantiated claim'],"[['this', 'is', 'an', 'unfounded', 'statement']]","[['that', 'is', 'an', 'unsubstantiated', 'claim']]"
What kind of music do you usually listen to in your car?,What kind of music do you usually listen to while driving?,Not Hallucination,what kind of music do you usually listen to in your car,what kind of music do you usually listen to while driving,['what kind of music do you usually listen to in your car'],['what kind of music do you usually listen to while driving'],"[['what', 'kind', 'of', 'music', 'do', 'you', 'usually', 'listen', 'to', 'in', 'your', 'car']]","[['what', 'kind', 'of', 'music', 'do', 'you', 'usually', 'listen', 'to', 'while', 'driving']]"
We need that woman's name.,We need that woman's name.,Not Hallucination,we need that womans name,we need that womans name,['we need that womans name'],['we need that womans name'],"[['we', 'need', 'that', 'womans', 'name']]","[['we', 'need', 'that', 'womans', 'name']]"
I can't spend all day here.,I can't spend the whole day here.,Not Hallucination,i cannot spend all day here,i cannot spend the whole day here,['i cannot spend all day here'],['i cannot spend the whole day here'],"[['i', 'can', 'not', 'spend', 'all', 'day', 'here']]","[['i', 'can', 'not', 'spend', 'the', 'whole', 'day', 'here']]"
Not everything edible is worth eating.,Not everything edible is worth eating.,Not Hallucination,not everything edible is worth eating,not everything edible is worth eating,['not everything edible is worth eating'],['not everything edible is worth eating'],"[['not', 'everything', 'edible', 'is', 'worth', 'eating']]","[['not', 'everything', 'edible', 'is', 'worth', 'eating']]"
When did you get sick?,When did you get ill?,Not Hallucination,when did you get sick,when did you get ill,['when did you get sick'],['when did you get ill'],"[['when', 'did', 'you', 'get', 'sick']]","[['when', 'did', 'you', 'get', 'ill']]"
Would you like coffee or tea for breakfast?,Would you like coffee or tea with your breakfast?,Not Hallucination,would you like coffee or tea for breakfast,would you like coffee or tea with your breakfast,['would you like coffee or tea for breakfast'],['would you like coffee or tea with your breakfast'],"[['would', 'you', 'like', 'coffee', 'or', 'tea', 'for', 'breakfast']]","[['would', 'you', 'like', 'coffee', 'or', 'tea', 'with', 'your', 'breakfast']]"
I'd like to stay here with them.,I'd like to stay here with them.,Not Hallucination,i would like to stay here with them,i would like to stay here with them,['i would like to stay here with them'],['i would like to stay here with them'],"[['i', 'would', 'like', 'to', 'stay', 'here', 'with', 'them']]","[['i', 'would', 'like', 'to', 'stay', 'here', 'with', 'them']]"
You can see from your face that you disagree.,Your face says that you don't agree.,Hallucination,you can see from your face that you disagree,your face says that you do not agree,['you can see from your face that you disagree'],['your face says that you do not agree'],"[['you', 'can', 'see', 'from', 'your', 'face', 'that', 'you', 'disagree']]","[['your', 'face', 'says', 'that', 'you', 'do', 'not', 'agree']]"
I'm not talking to Tom anymore.,I won't talk to Tom anymore.,Not Hallucination,i am not talking to tom anymore,i will not talk to tom anymore,['i am not talking to tom anymore'],['i will not talk to tom anymore'],"[['i', 'am', 'not', 'talking', 'to', 'tom', 'anymore']]","[['i', 'will', 'not', 'talk', 'to', 'tom', 'anymore']]"
How did you turn off the alarm?,How did you turn off the alarm?,Not Hallucination,how did you turn off the alarm,how did you turn off the alarm,['how did you turn off the alarm'],['how did you turn off the alarm'],"[['how', 'did', 'you', 'turn', 'off', 'the', 'alarm']]","[['how', 'did', 'you', 'turn', 'off', 'the', 'alarm']]"
Have you ever seen Tom dance?,Have you ever seen Tom dance before?,Not Hallucination,have you ever seen tom dance,have you ever seen tom dance before,['have you ever seen tom dance'],['have you ever seen tom dance before'],"[['have', 'you', 'ever', 'seen', 'tom', 'dance']]","[['have', 'you', 'ever', 'seen', 'tom', 'dance', 'before']]"
Have you ever had these symptoms?,Have you ever had these symptoms before?,Not Hallucination,have you ever had these symptoms,have you ever had these symptoms before,['have you ever had these symptoms'],['have you ever had these symptoms before'],"[['have', 'you', 'ever', 'had', 'these', 'symptoms']]","[['have', 'you', 'ever', 'had', 'these', 'symptoms', 'before']]"
How long do you have to wait?,How long will you have to wait?,Not Hallucination,how long do you have to wait,how long will you have to wait,['how long do you have to wait'],['how long will you have to wait'],"[['how', 'long', 'do', 'you', 'have', 'to', 'wait']]","[['how', 'long', 'will', 'you', 'have', 'to', 'wait']]"
You haven't been your own lately.,You haven't been yourself recently. Is something wrong?,Hallucination,you have not been your own lately,you have not been yourself recently is something wrong,['you have not been your own lately'],['you have not been yourself recently is something wrong'],"[['you', 'have', 'not', 'been', 'your', 'own', 'lately']]","[['you', 'have', 'not', 'been', 'yourself', 'recently', 'is', 'something', 'wrong']]"
Tokipona is a charming young lady.,Toki Pona is a charming young lady.,Not Hallucination,tokipona is a charming young lady,toki pona is a charming young lady,['tokipona is a charming young lady'],['toki pona is a charming young lady'],"[['tokipona', 'is', 'a', 'charming', 'young', 'lady']]","[['toki', 'pona', 'is', 'a', 'charming', 'young', 'lady']]"
I'm sorry I ruined your party.,I'm sorry I ruined your party.,Not Hallucination,i am sorry i ruined your party,i am sorry i ruined your party,['i am sorry i ruined your party'],['i am sorry i ruined your party'],"[['i', 'am', 'sorry', 'i', 'ruined', 'your', 'party']]","[['i', 'am', 'sorry', 'i', 'ruined', 'your', 'party']]"
You all have to help Tom.,You all need to help Tom.,Not Hallucination,you all have to help tom,you all need to help tom,['you all have to help tom'],['you all need to help tom'],"[['you', 'all', 'have', 'to', 'help', 'tom']]","[['you', 'all', 'need', 'to', 'help', 'tom']]"
Will the exam be today?,Is the exam today?,Not Hallucination,will the exam be today,is the exam today,['will the exam be today'],['is the exam today'],"[['will', 'the', 'exam', 'be', 'today']]","[['is', 'the', 'exam', 'today']]"
That's why your name's last on my list.,That's why your name is last on my list.,Not Hallucination,that is why your names last on my list,that is why your name is last on my list,['that is why your names last on my list'],['that is why your name is last on my list'],"[['that', 'is', 'why', 'your', 'names', 'last', 'on', 'my', 'list']]","[['that', 'is', 'why', 'your', 'name', 'is', 'last', 'on', 'my', 'list']]"
Tom paints his room in blue.,Tom is painting his room light blue.,Not Hallucination,tom paints his room in blue,tom is painting his room light blue,['tom paints his room in blue'],['tom is painting his room light blue'],"[['tom', 'paints', 'his', 'room', 'in', 'blue']]","[['tom', 'is', 'painting', 'his', 'room', 'light', 'blue']]"
